immobile	http://purl.obolibrary.org/obo/PATO_0000300	mobile	http://purl.obolibrary.org/obo/PATO_0000299	xpo.owl,wbphenotype.owl,maxo.owl,hp.owl,pato.owl,mp.owl,ecto.owl,zp.owl,planp.owl
decreased speed	http://purl.obolibrary.org/obo/PATO_0000304	increased speed	http://purl.obolibrary.org/obo/PATO_0000303	wbphenotype.owl,pato.owl,mp.owl,zp.owl
old	http://purl.obolibrary.org/obo/PATO_0000308	young	http://purl.obolibrary.org/obo/PATO_0000309	pato.owl
high brightness	http://purl.obolibrary.org/obo/PATO_0000665	low brightness	http://purl.obolibrary.org/obo/PATO_0000327	wbphenotype.owl,hp.owl,pato.owl,mp.owl,zp.owl
high saturation	http://purl.obolibrary.org/obo/PATO_0001229	low saturation	http://purl.obolibrary.org/obo/PATO_0000328	wbphenotype.owl,hp.owl,pato.owl,mp.owl,zp.owl
irregular spatial pattern	http://purl.obolibrary.org/obo/PATO_0000330	regular spatial pattern	http://purl.obolibrary.org/obo/PATO_0000440	xpo.owl,fypo.owl,wbphenotype.owl,maxo.owl,hp.owl,pato.owl,mp.owl,zp.owl,omp.owl
colored	http://purl.obolibrary.org/obo/PATO_0000336	discolored	http://purl.obolibrary.org/obo/PATO_0000331	pato.owl,mp.owl,zp.owl
compatible	http://purl.obolibrary.org/obo/PATO_0000344	incompatible	http://purl.obolibrary.org/obo/PATO_0000345	pato.owl
down	http://purl.obolibrary.org/obo/PATO_0000365	up	http://purl.obolibrary.org/obo/PATO_0000370	pato.owl
decreased distance	http://purl.obolibrary.org/obo/PATO_0000375	increased distance	http://purl.obolibrary.org/obo/PATO_0000374	wbphenotype.owl,pato.owl,mp.owl,nbo.owl,zp.owl,planp.owl
decreased frequency	http://purl.obolibrary.org/obo/PATO_0000381	increased frequency	http://purl.obolibrary.org/obo/PATO_0000380	fypo.owl,wbphenotype.owl,hp.owl,pato.owl,mp.owl,nbo.owl,tso-merged.owl,zp.owl
hard	http://purl.obolibrary.org/obo/PATO_0000386	soft	http://purl.obolibrary.org/obo/PATO_0000387	hp.owl,pato.owl,mp.owl,zp.owl
acute	http://purl.obolibrary.org/obo/PATO_0000389	chronic	http://purl.obolibrary.org/obo/PATO_0001863	icdo.owl,maxo.owl,hp.owl,pato.owl,mp.owl,nbo.owl,zp.owl
branched	http://purl.obolibrary.org/obo/PATO_0000402	unbranched	http://purl.obolibrary.org/obo/PATO_0000414	xpo.owl,fypo.owl,wbphenotype.owl,ecocore.owl,hp.owl,pato.owl,mp.owl,zp.owl,omp.owl
coiled	http://purl.obolibrary.org/obo/PATO_0000404	uncoiled	http://purl.obolibrary.org/obo/PATO_0000415	xpo.owl,wbphenotype.owl,hp.owl,pato.owl,mp.owl,zp.owl
auxotrophic	http://purl.obolibrary.org/obo/PATO_0000422	prototrophic	http://purl.obolibrary.org/obo/PATO_0000423	fypo.owl,pato.owl,dpo.owl,omp.owl
recurrent	http://purl.obolibrary.org/obo/PATO_0000427	sporadic	http://purl.obolibrary.org/obo/PATO_0000428	hp.owl,pato.owl,mp.owl,zp.owl
invariant	http://purl.obolibrary.org/obo/PATO_0000438	variant	http://purl.obolibrary.org/obo/PATO_0001227	wbphenotype.owl,pato.owl,mp.owl,zp.owl
abnormal	http://purl.obolibrary.org/obo/PATO_0000460	normal	http://purl.obolibrary.org/obo/PATO_0000461	wbphenotype.owl,hp.owl,cl.owl,pato.owl,fbbt.owl,nbo.owl,ktao-merged.owl,ecto.owl,phipo.owl,pco.owl,xpo.owl,fypo.owl,maxo.owl,mp.owl,dpo.owl,zp.owl,omp.owl,planp.owl
absent	http://purl.obolibrary.org/obo/PATO_0000462	present	http://purl.obolibrary.org/obo/PATO_0000467	wbphenotype.owl,hp.owl,pato.owl,nbo.owl,ecto.owl,phipo.owl,pco.owl,xpo.owl,fypo.owl,maxo.owl,mp.owl,dpo.owl,zp.owl,omp.owl,planp.owl
conspicuous	http://purl.obolibrary.org/obo/PATO_0000463	inconspicuous	http://purl.obolibrary.org/obo/PATO_0000464	pato.owl,mp.owl,zp.owl
decreased amount	http://purl.obolibrary.org/obo/PATO_0001997	increased amount	http://purl.obolibrary.org/obo/PATO_0000470	wbphenotype.owl,hp.owl,pato.owl,nbo.owl,ecto.owl,phipo.owl,pco.owl,xpo.owl,fypo.owl,maxo.owl,mp.owl,dpo.owl,zp.owl,planp.owl
responsive to	http://purl.obolibrary.org/obo/PATO_0000487	unresponsive to	http://purl.obolibrary.org/obo/PATO_0000488	wbphenotype.owl,pato.owl,mp.owl,zp.owl
decreased duration	http://purl.obolibrary.org/obo/PATO_0000499	increased duration	http://purl.obolibrary.org/obo/PATO_0000498	fypo.owl,wbphenotype.owl,maxo.owl,hp.owl,pato.owl,mp.owl,nbo.owl,zp.owl,omp.owl,phipo.owl
arrhythmic	http://purl.obolibrary.org/obo/PATO_0000504	rhythmic	http://purl.obolibrary.org/obo/PATO_0000505	pato.owl,mp.owl,zp.owl
insensitive toward	http://purl.obolibrary.org/obo/PATO_0000513	sensitive toward	http://purl.obolibrary.org/obo/PATO_0000516	wbphenotype.owl,hp.owl,pato.owl,mp.owl,phipo.owl
photoinsensitive	http://purl.obolibrary.org/obo/PATO_0000546	photosensitive	http://purl.obolibrary.org/obo/PATO_0000547	hp.owl,pato.owl,mp.owl,zp.owl
decreased height	http://purl.obolibrary.org/obo/PATO_0000569	increased height	http://purl.obolibrary.org/obo/PATO_0000570	xpo.owl,wbphenotype.owl,maxo.owl,hp.owl,pato.owl,mp.owl,ecto.owl,zp.owl
decreased length	http://purl.obolibrary.org/obo/PATO_0000574	increased length	http://purl.obolibrary.org/obo/PATO_0000573	xpo.owl,fypo.owl,wbphenotype.owl,maxo.owl,hp.owl,pato.owl,mp.owl,ecto.owl,zp.owl,omp.owl,planp.owl
decreased weight	http://purl.obolibrary.org/obo/PATO_0000583	increased weight	http://purl.obolibrary.org/obo/PATO_0000582	pato.owl,mp.owl,zp.owl,planp.owl
hypertrophic	http://purl.obolibrary.org/obo/PATO_0000584	hypotrophic	http://purl.obolibrary.org/obo/PATO_0000585	wbphenotype.owl,maxo.owl,hp.owl,pato.owl,mp.owl,zp.owl,planp.owl
decreased size	http://purl.obolibrary.org/obo/PATO_0000587	increased size	http://purl.obolibrary.org/obo/PATO_0000586	wbphenotype.owl,hp.owl,cl.owl,pato.owl,nbo.owl,ktao-merged.owl,ecto.owl,xpo.owl,fypo.owl,maxo.owl,mp.owl,dpo.owl,zp.owl,omp.owl,planp.owl
decreased thickness	http://purl.obolibrary.org/obo/PATO_0000592	increased thickness	http://purl.obolibrary.org/obo/PATO_0000591	xpo.owl,fypo.owl,wbphenotype.owl,hp.owl,pato.owl,mp.owl,zp.owl,omp.owl
decreased volume	http://purl.obolibrary.org/obo/PATO_0000596	increased volume	http://purl.obolibrary.org/obo/PATO_0000595	xpo.owl,fypo.owl,wbphenotype.owl,maxo.owl,hp.owl,pato.owl,mp.owl,zp.owl,omp.owl,planp.owl
decreased width	http://purl.obolibrary.org/obo/PATO_0000599	increased width	http://purl.obolibrary.org/obo/PATO_0000600	xpo.owl,hp.owl,pato.owl,mp.owl,zp.owl,planp.owl
